,0
2022-07-04,1195563431.516064
2022-07-05,1223906764.312385
2022-07-06,1167712650.188665
2022-07-07,1156995306.83487
2022-07-08,1163765555.3696225
2022-07-11,1162411887.3992848
2022-07-12,1141353063.6268427
2022-07-13,1146595111.4697402
2022-07-14,1146381688.31794
2022-07-15,1145323380.625465
2022-07-18,1145264750.4785674
2022-07-19,1145011742.8637974
2022-07-20,1144210562.8222513
2022-07-21,1147746913.0346386
2022-07-22,1145473240.443879
2022-07-25,1143112151.8048315
2022-07-26,1140501337.1955273
2022-07-27,1143313067.2398922
2022-07-28,1146306619.9257197
2022-07-29,1152080799.626167
2022-08-01,1150519055.8225772
2022-08-02,1145463514.8088284
2022-08-03,1150462203.4055047
2022-08-04,1146412780.62231
2022-08-05,1157160869.1990664
2022-08-08,1155783771.136766
2022-08-09,1167611315.1023185
2022-08-10,1162604364.5623083
2022-08-11,1173497395.1733985
2022-08-12,1180128623.7733989
2022-08-15,1171644734.3255057
2022-08-16,1172919560.9631436
2022-08-17,1172573823.0208988
2022-08-18,1166289398.170899
2022-08-19,1167226422.1208982
2022-08-22,1145180004.305341
2022-08-23,1133101466.0115047
2022-08-24,1130953170.4033923
2022-08-25,1140233871.5538588
2022-08-26,1148127401.1917634
2022-08-29,1129892030.0417635
2022-08-30,1134948669.957041
2022-08-31,1141963855.0137298
2022-09-01,1129760884.1925151
2022-09-02,1129164465.65487
2022-09-05,1132396046.6048698
2022-09-06,1131133228.2288337
2022-09-07,1123773985.449311
2022-09-08,1142951076.1429884
2022-09-12,1146088395.6465974
2022-09-13,1151437542.6000164
2022-09-14,1135966293.7751038
2022-09-15,1142383532.8042212
2022-09-16,1138228377.4884765
2022-09-19,1128976555.430894
2022-09-20,1128129752.3478212
2022-09-21,1129133903.0732713
2022-09-22,1124327496.8419912
2022-09-23,1119784547.0081825
2022-09-26,1095913259.3006625
2022-09-27,1105081465.80822
2022-09-28,1087824520.9039023
2022-09-29,1093413536.5520773
2022-09-30,1094294473.3520775
2022-10-03,1089465464.3189275
2022-10-04,1094885250.2659297
2022-10-05,1092803801.360695
2022-10-06,1092796949.1704574
2022-10-07,1091270269.8272524
2022-10-11,1074043309.7727823
2022-10-12,1071008185.4705759
2022-10-13,1061202378.3864661
2022-10-14,1071154660.1839173
2022-10-17,1071426992.6140099
2022-10-18,1073272303.7035239
2022-10-19,1070102712.3525138
2022-10-20,1074368269.9716437
2022-10-21,1074572703.2065525
2022-10-24,1073934295.5597048
2022-10-25,1069816208.132672
2022-10-26,1070112621.5702219
2022-10-27,1042205983.3512545
2022-10-28,1040404523.7898171
2022-10-31,1040382678.8581372
2022-11-01,1042004426.5218097
2022-11-02,1042366169.0919874
2022-11-03,1045452325.2425876
2022-11-04,1048794486.8057625
2022-11-07,1052621206.7249749
2022-11-08,1051202105.1427499
2022-11-09,1056858533.2465749
2022-11-10,1053606759.1353086
2022-11-11,1060554325.3430212
2022-11-14,1066324979.4796786
2022-11-15,1069509414.4566913
2022-11-16,1080709249.835839
2022-11-17,1092519480.8715901
2022-11-18,1086720967.14086
2022-11-21,1083989154.691826
2022-11-22,1076875880.589475
2022-11-23,1079350040.239475
2022-11-24,1103600430.6500752
2022-11-25,1092341434.0000749
2022-11-28,1089297335.166385
2022-11-29,1095437274.066385
2022-11-30,1113906202.2835124
2022-12-01,1120835043.7222774
2022-12-02,1142098153.3222775
2022-12-05,1133954316.3222778
2022-12-06,1114675597.2722778
2022-12-07,1099893919.6690426
2022-12-08,1103912904.4972775
2022-12-09,1119404360.1913774
2022-12-12,1102294832.0722253
2022-12-13,1097000563.2233124
2022-12-14,1126142880.8733125
2022-12-15,1119806230.2775328
2022-12-16,1101792434.3025925
2022-12-19,1081868975.4437313
2022-12-20,1046925137.8034452
2022-12-21,1053398049.3735324
2022-12-22,1053289060.4300865
2022-12-23,1048310899.3364987
2022-12-26,1046276391.2748263
2022-12-27,1048708320.1887387
2022-12-28,1037021734.6226197
2022-12-29,1037034935.5290225
2022-12-30,1035166744.9088173
2023-01-03,1051749752.9497448
2023-01-04,1062944996.6472474
2023-01-05,1037506137.0718675
2023-01-06,1023977341.2525237
2023-01-09,1032546185.5026534
2023-01-10,1032410788.3811271
2023-01-11,1028602521.0594872
2023-01-12,1025995788.4980998
2023-01-13,1025576660.4551649
2023-01-16,1025159516.4123726
2023-01-17,1027602788.1973815
2023-01-30,1040555003.532876
2023-01-31,1034260525.6461562
2023-02-01,1043415630.1624489
2023-02-02,1050222962.2053239
2023-02-03,1044145439.6553236
2023-02-06,1031281492.9053239
2023-02-07,1039480953.4553238
2023-02-08,1049347135.0809453
2023-02-09,1042994089.980945
2023-02-10,1033906907.080945
2023-02-13,1037077190.2309449
2023-02-14,1050367275.6976675
2023-02-15,1045489638.2325162
2023-02-16,1064907563.2325164
2023-02-17,1058781350.8825161
2023-02-20,1063884666.7133402
2023-02-21,1064778660.21334
2023-02-22,1052272741.4718674
2023-02-23,1059546823.8382303
2023-02-24,1053107900.4382297
2023-03-01,1048658299.5882301
2023-03-02,1048286107.0371975
2023-03-03,1048412998.6348741
2023-03-06,1063481235.7183837
2023-03-07,1070322940.2211475
2023-03-08,1070097610.35219
2023-03-09,1069618056.0613873
2023-03-10,1047069679.7108222
2023-03-13,1047008803.1901752
2023-03-14,1030060072.6769063
2023-03-15,1035996999.6269062
2023-03-16,1027588912.0062263
2023-03-17,1043050289.0674875
2023-03-20,1050738674.8674877
2023-03-21,1055474615.2174877
2023-03-22,1067125443.4174875
2023-03-23,1078723852.4674878
2023-03-24,1087773503.617488
2023-03-27,1078089633.467487
2023-03-28,1066847045.0394099
2023-03-29,1071369632.4394099
2023-03-30,1078323262.7937036
2023-03-31,1082903486.6520162
2023-04-06,1097141445.102017
2023-04-07,1097006536.7317739
2023-04-10,1111515720.8317738
2023-04-11,1136072188.5165262
2023-04-12,1155759453.5665262
2023-04-13,1144408757.6665266
2023-04-14,1145117176.7665265
2023-04-17,1148325902.1665263
2023-04-18,1141214055.110054
2023-04-19,1146965517.0600536
2023-04-20,1133464832.789504
2023-04-21,1124362034.3395038
2023-04-24,1135170817.9988067
2023-04-25,1100463868.9958587
2023-04-26,1108486672.925224
2023-04-27,1119345856.0752237
2023-04-28,1132232189.2252238
2023-05-02,1168439738.036231
2023-05-03,1147851795.836231
2023-05-04,1159529096.940069
2023-05-05,1141816614.8834527
2023-05-08,1186242978.0126603
2023-05-09,1166538507.4887788
2023-05-10,1143958848.7923288
2023-05-11,1128647305.1618414
2023-05-12,1162019796.1403112
2023-05-15,1154096975.5345616
2023-05-16,1174280862.0332062
2023-05-17,1175434430.0636613
2023-05-18,1222729072.8534338
2023-05-19,1259603298.9490414
2023-05-22,1272455803.475291
2023-05-23,1301760469.4252908
2023-05-24,1318763998.7252913
2023-05-25,1353865488.7944763
2023-05-26,1349952232.4504364
2023-05-29,1380636133.7004366
2023-05-30,1377165410.4504364
2023-05-31,1394007752.8504362
2023-06-01,1395406863.7004364
2023-06-02,1469224992.143146
2023-06-05,1463603242.2931464
2023-06-06,1449311726.643146
2023-06-07,1466328298.2931461
2023-06-08,1438482003.4431462
2023-06-09,1477365267.7931461
