,symbol,open_date,last_date,open_price,last_price,highest_price,position_size,profit_loss,change_pct,current_value,stop_profit_price,stop_loss_price,opened_days
0,2834,2025-07-18,2026-01-29,16.45,15.55,16.6,1264237,-1137813.2999999982,-5.4711246200607855,19658885.35,,,1
1,2880,2025-07-18,2026-01-29,29.0,33.5,33.5,717127,3227071.5,15.517241379310342,24023754.5,,,1
2,1605,2025-08-21,2026-01-29,22.75,43.0,44.3,844126,17093551.5,89.01098901098901,36297418.0,,,1
3,2887,2025-09-08,2026-01-29,17.1,22.85,23.2,1170728,6731686.0,33.62573099415205,26751134.8,,,1
4,1605,2025-09-23,2026-01-29,24.5,43.0,44.3,840040,15540740.0,75.51020408163265,36121720.0,,,1
5,1605,2025-09-25,2026-01-29,25.9,43.0,44.3,1043060,17836326.0,66.02316602316603,44851580.0,,,1
6,2303,2025-09-25,2026-01-29,44.85,75.9,76.2,602353,18703060.650000002,69.23076923076923,45718592.7,,,1
7,2408,2025-09-25,2026-01-29,74.3,297.0,297.0,363604,80974610.8,299.73082099596235,107990388.0,,,1
8,1605,2025-10-07,2026-01-29,25.65,43.0,44.3,689547,11963640.450000001,67.6413255360624,29650521.0,,,1
9,1605,2025-10-14,2026-01-29,31.5,43.0,44.3,670376,7709324.0,36.50793650793651,28826168.0,,,1
10,1605,2025-10-17,2026-01-29,29.2,43.0,44.3,653902,9023847.6,47.260273972602754,28117786.0,,,1
11,1605,2025-10-29,2026-01-29,31.0,43.0,44.3,807638,9691656.0,38.70967741935485,34728434.0,,,1
12,1605,2025-11-03,2026-01-29,30.05,43.0,44.3,1473469,19081423.55,43.09484193011648,63359167.0,,,1
13,2408,2025-11-03,2026-01-29,136.0,297.0,297.0,325571,52416931.0,118.38235294117645,96694587.0,,,1
14,3443,2025-11-03,2026-01-29,1580.0,2580.0,2725.0,28023,28023000.0,63.29113924050633,72299340.0,,,1
15,1605,2025-11-04,2026-01-29,29.5,43.0,44.3,1253828,16926678.0,45.76271186440677,53914604.0,,,1
16,2408,2025-11-04,2026-01-29,141.0,297.0,297.0,262328,40923168.0,110.6382978723404,77911416.0,,,1
17,2408,2025-11-17,2026-01-29,170.0,297.0,297.0,148452,18853404.0,74.70588235294117,44090244.0,,,1
18,2408,2025-11-18,2026-01-29,165.0,297.0,297.0,179611,23708652.0,80.0,53344467.0,,,1
19,2408,2025-11-19,2026-01-29,156.5,297.0,297.0,153575,21577287.5,89.77635782747603,45611775.0,,,1
20,2408,2025-11-20,2026-01-29,169.5,297.0,297.0,141800,18079500.0,75.2212389380531,42114600.0,,,1
21,3443,2025-11-20,2026-01-29,1995.0,2580.0,2725.0,12047,7047495.0,29.323308270676684,31081260.0,,,1
22,2408,2025-11-24,2026-01-29,141.0,297.0,297.0,154741,24139596.0,110.6382978723404,45958077.0,,,1
23,2408,2025-11-25,2026-01-29,153.5,297.0,297.0,161999,23246856.5,93.48534201954396,48113703.0,,,1
24,3443,2025-11-25,2026-01-29,2055.0,2580.0,2725.0,12100,6352500.0,25.547445255474454,31218000.0,,,1
25,3443,2025-12-05,2026-01-29,2120.0,2580.0,2725.0,12462,5732520.0,21.698113207547177,32151960.0,,,1
26,2303,2025-12-17,2026-01-29,49.45,75.9,76.2,678929,17957672.05,53.48837209302326,51530711.10000001,,,1
27,2880,2025-12-17,2026-01-29,31.35,33.5,33.5,1070911,2302458.6499999985,6.858054226475274,35875518.5,,,1
28,2883,2025-12-17,2026-01-29,17.2,18.05,18.3,1951923,1659134.5500000028,4.941860465116288,35232210.150000006,,,1
29,2884,2025-12-17,2026-01-29,33.2,33.5,34.15,1011237,303371.0999999971,0.9036144578313143,33876439.5,,,1
30,2885,2025-12-17,2026-01-29,38.8,42.6,42.6,865285,3288083.0000000037,9.7938144329897,36861141.0,,,1
31,2891,2025-12-17,2026-01-29,46.9,51.2,51.2,715844,3078129.200000003,9.168443496801725,36651212.800000004,,,1
32,3037,2025-12-17,2026-01-29,220.0,367.5,367.5,152604,22509090.0,67.04545454545455,56081970.0,,,1
