,symbol,open_date,close_date,open_price,close_price,position_size,exit_reason,profit_loss,change_pct,trade_commission,cumulative_return
38,2395,2021-01-06,2021-01-13,337.5,369.0,29654,Low prediction,934101.0,9.333333333333327,62681.513175,997623532.3586235
39,2059,2021-01-05,2021-01-15,293.5,296.5,34023,Low prediction,102069.0,1.0221465076660996,58868.295750000005,997666733.0628735
40,1402,2021-01-05,2021-01-19,28.75,27.25,347331,Low prediction,-520996.5,-5.21739130434783,56111.323050000006,997089625.2398235
41,1503,2021-01-05,2021-01-19,50.9,49.8,196184,Low prediction,-215802.40000000029,-2.161100196463661,57461.803139999996,996816361.0366834
42,2408,2021-01-05,2021-01-19,90.2,86.7,110707,Low prediction,-387474.5,-3.880266075388028,56702.1880275,996372184.3486559
43,2615,2021-01-05,2021-01-19,57.3,46.75,174272,Low prediction,-1838569.5999999994,-18.411867364746936,50281.175279999996,994483333.5733759
44,2888,2021-01-05,2021-01-19,8.71,8.47,1146479,Low prediction,-275154.96000000025,-2.7554535017221604,57199.5570285,994150979.0563475
45,9904,2021-01-05,2021-01-19,31.45,29.2,317534,Low prediction,-714451.5,-7.154213036565982,55259.25126749999,993381268.3050799
46,2615,2021-01-05,2021-01-19,57.3,46.75,173253,Low prediction,-1827819.1499999994,-18.411867364746936,49987.17212625,991503461.9829537
47,2615,2021-01-06,2021-01-19,54.5,46.75,183639,Low prediction,-1423202.25,-14.220183486238536,52251.03421875001,990028008.6987349
48,1476,2021-01-05,2021-01-20,420.0,400.0,23775,Low prediction,-475500.0,-4.761904761904767,56311.0875,989496197.6112349
49,1476,2021-01-07,2021-01-20,425.0,400.0,21830,Low prediction,-545750.0,-5.882352941176472,51859.89375,988898587.717485
50,1476,2021-01-08,2021-01-20,433.5,400.0,22573,Low prediction,-756195.5,-7.7277970011534025,53898.39858750001,988088493.8188975
51,1476,2021-01-12,2021-01-20,417.0,400.0,23396,Low prediction,-397732.0,-4.076738609112707,55313.4081,987635448.4107975
52,1476,2021-01-13,2021-01-20,425.0,400.0,24949,Low prediction,-623725.0,-5.882352941176472,59269.468125,986952453.9426725
53,2834,2021-01-05,2021-01-21,9.71,9.36,1028406,Low prediction,-359942.1000000015,-3.6045314109166005,56824.31642850001,986535687.526244
54,2882,2021-01-05,2021-01-21,41.85,40.75,238610,Low prediction,-262471.00000000035,-2.628434886499409,57255.66255000001,986215960.8636941
55,2303,2021-01-05,2021-01-22,44.9,54.0,222400,Low prediction,2023840.0000000002,20.267260579064583,67372.18800000001,988172428.6756941
56,2356,2021-01-05,2021-01-22,24.1,22.85,414348,Low prediction,-517935.0,-5.186721991701249,56124.990405000004,987598368.6852891
57,2376,2021-01-05,2021-01-22,79.0,76.9,126402,Low prediction,-265444.19999999925,-2.658227848101258,57242.09371500001,987275682.3915741
58,2801,2021-01-05,2021-01-22,17.7,17.25,564171,Low prediction,-253876.9499999996,-2.5423728813559254,57293.68069125,986964511.7608829
59,2880,2021-01-05,2021-01-22,18.15,17.6,550183,Low prediction,-302600.64999999845,-3.0303030303030165,57078.04760625,986604833.0632766
60,2886,2021-01-05,2021-01-22,29.85,28.7,334533,Low prediction,-384712.9500000007,-3.8525963149078746,56714.63398875,986163405.4792879
61,2887,2021-01-05,2021-01-22,13.15,12.85,759379,Low prediction,-227813.70000000054,-2.281368821292784,57409.0524,985878182.7268878
62,3037,2021-01-05,2021-01-22,91.3,95.9,109374,Low prediction,503120.40000000095,5.038335158817087,60643.50804,986320659.6188478
63,5269,2021-01-05,2021-01-22,1650.0,1750.0,6052,Low prediction,605200.0,6.060606060606055,61094.94,986864764.6788478
64,5876,2021-01-05,2021-01-22,41.4,39.5,241208,Low prediction,-458295.19999999966,-4.589371980676327,56390.20926,986350079.2695878
65,5880,2021-01-05,2021-01-22,20.15,19.6,495584,Low prediction,-272571.1999999986,-2.7295285359801302,57212.0754,986020295.9941877
66,9910,2021-01-05,2021-01-22,197.0,191.5,50692,Low prediction,-278806.0,-2.7918781725888353,57186.27885,985684303.7153378
67,2324,2021-01-20,2021-01-25,21.6,21.3,429059,Low prediction,-128717.7000000003,-1.388888888888895,53646.31941750001,985501939.6959202
