stock_id,date,pred_pct,true_pct
2207,2021-11-18,0.016362788190592337,-0.05427095688760131
1590,2022-09-22,-0.11824153655072489,-0.08123567680838473
3034,2021-07-16,-0.13357913347014305,0.01501090910972147
2385,2021-06-01,-0.12083143602954305,-0.026066704442906707
2357,2022-08-31,0.022454265576988597,-0.04203036963556461
3665,2020-10-07,-0.07215065185340497,0.006167498360010182
4958,2020-11-30,-0.14447334679496482,-0.03750582844867911
1303,2020-12-09,0.10356607740920443,0.049512761905747604
2882,2021-05-31,0.10207824541416533,-0.027626501102203882
2360,2022-03-30,-0.12666953530807068,-0.08493972661688776
4958,2020-06-11,0.09886207625373822,0.027043846811508176
3443,2021-01-18,-0.02716890466943167,0.033595083174529305
2610,2021-10-04,0.09229579465477777,0.1177773550054888
1605,2022-07-04,-0.04726226057789462,-0.035260997373459
2353,2020-04-29,0.06929353208677025,0.003504896922567502
2834,2022-02-18,0.08095132835667318,0.01540970012055265
1216,2022-04-29,0.0007831267687521404,-0.04169029797626156
2884,2021-11-02,0.03258403478273442,0.03271121654116915
2409,2022-04-07,-0.045417875771546434,-0.08164340902297285
1476,2020-12-07,-0.07643306446064946,0.05082427984322058
1102,2020-11-23,0.04514949491663511,-0.019892617756519515
3443,2021-06-29,-0.027101612716895707,0.02400886133298874
1590,2020-12-07,0.09960232885418208,0.11585117975701564
2888,2021-01-15,0.042990614077437206,-0.02966650997972431
5871,2020-12-11,0.13444993063390598,0.06896953992810384
2882,2021-11-05,0.026900223346038032,0.029757192019931322
2912,2020-02-19,-0.07464505994646187,-0.06789392800818816
3665,2020-09-28,-0.10841366210120085,0.01926928536883321
5876,2022-07-18,0.006375616654081373,0.05341475946701513
8464,2021-06-07,-0.004750249340142454,0.0014119882662670946
2376,2021-07-28,-0.07246276616127556,-0.0856224570118298
2360,2021-03-02,0.002040566357793372,-0.07107013572146259
2474,2022-08-17,-0.03730255375716607,0.02441012618111249
2610,2021-11-12,0.4585765569690332,0.06310675650215458
6409,2021-07-07,0.019404802668473442,-0.022678515214210826
2912,2020-12-23,-0.00962186320523628,0.018196009999489116
2385,2021-05-05,-0.05569200959813814,-0.024525931104031118
5269,2021-09-08,-0.18387723276548273,-0.17335726127173567
2383,2020-12-31,-0.011403726551469484,0.01646736997965248
2886,2020-02-20,-0.1216632706559777,-0.10923464845748676
2454,2021-11-30,-0.06236088000264417,0.09185675691335526
2891,2020-10-28,0.00552747953706012,0.05876222808758502
2371,2022-07-27,0.0729128094172371,-0.03664612649398602
2379,2021-10-07,-0.0648309665070319,0.010750835760620303
1476,2021-04-27,-0.004264005908655166,0.13251179936169044
2812,2022-01-10,0.0335707518910453,0.05404566698274049
2885,2020-05-21,0.0600742135377883,0.07794487887002055
2890,2022-08-09,0.048082426635529085,0.04471546458947184
1402,2020-02-25,-0.11403573760470753,-0.14672911535190214
3706,2021-03-15,-0.024227064448633873,0.02970930030212382
3008,2020-02-04,-0.12008491181770009,-0.0703910711754373
2105,2022-03-31,-0.008071107233055486,-0.038615442430818936
8464,2020-07-02,0.09037251740468344,0.06501629861183211
3661,2020-09-21,0.16154044793217004,-0.029393514903138684
2834,2020-09-09,-0.0056156270602050196,-0.02350646481173202
6409,2021-12-15,-0.13948611411008782,0.02970443800931699
2834,2021-03-08,0.05659420156725159,0.03502404391266012
2885,2021-12-09,0.04064267537844013,0.011913054429979919
6409,2021-07-19,-0.03007768098042274,0.0016348566254957841
2357,2022-03-01,-0.03719672634816662,-0.012504112973994008
2891,2021-05-12,0.04432072315552449,0.006748241173894609
2379,2020-10-20,-0.03906893985472115,-0.029893631906225182
2354,2021-10-21,0.03931934613630972,0.018388338172568464
2330,2021-10-06,-0.09242960437671233,0.04305440681856321
6409,2021-07-30,-0.028083596114026776,-0.046938402004581214
4904,2021-06-08,0.040575662706600735,-0.004643347395705488
3231,2021-08-04,0.018004234072991565,-0.0009149948659282758
6409,2022-03-16,-0.1431836045404402,0.013665769282301232
2618,2021-10-19,0.04356177608550338,0.22113373806013326
2002,2022-08-02,0.09446979981817694,0.017129924359993387
2610,2021-06-02,0.15042762204028537,0.02848335152618975
2324,2022-07-19,0.007561677851287252,0.04101020755942186
6669,2022-01-07,-0.043540364515574415,-0.038813292594569115
9910,2021-04-09,-0.025696824891053627,0.01114829822990826
3034,2021-10-18,-0.15000411737110986,0.13963152224681052
3008,2020-06-15,-0.11341065825325536,-0.011465975853549581
2383,2021-01-19,-0.014801448490689317,0.028036920688719658
3037,2020-05-07,0.08239271671911763,-0.033414443150677764
2886,2021-07-26,0.015012349761495347,0.0068314482806499655
2383,2021-08-19,0.018956932897947754,0.025968582102097626
2408,2020-02-12,0.12750440130594787,-0.1836590881155129
2376,2021-06-15,0.14029563880405993,-0.04273666313844915
3481,2022-08-09,0.1130703700427067,0.09030728794447862
3017,2022-06-13,-0.13674988281571576,-0.07721042174166537
2891,2022-03-07,0.030467459230183902,0.08966301414308253
2395,2022-07-20,-0.031038452987361742,0.008311006277715194
2412,2020-04-21,0.00472976515793766,0.015321126170997568
3045,2021-04-22,0.005281946296837869,-0.009677467805549789
2345,2020-11-18,-0.03776289855456916,0.083107023814599
2301,2022-10-13,0.008372478560841001,0.026628971712699068
2615,2021-11-10,-0.16193677889955493,-0.016289334593106775
3036,2020-07-27,0.06148967873100575,0.0010005032633486621
2395,2021-03-12,-0.05238231899309198,0.012664344842664876
2812,2020-11-30,0.012243624375456452,-0.003236418845541822
1102,2020-08-28,-0.005466529775108087,-0.017163435203197963
2327,2021-07-26,0.08062481299770585,-0.14111506685268882
