date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交股數,price:成交筆數,price:成交金額,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:投信買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),foreign_investors_shareholding:全體外資及陸資持股比率
2012-05-02,5.19,5.01,5.19,5.01,92258.0,52.0,473396.0,30000.0,0.0,0.0,0.0,0.0,1.65
2012-05-03,5.13,5.19,5.19,5.13,97030.0,22.0,498342.0,-6000.0,0.0,0.0,0.0,0.0,1.65
2012-05-04,5.13,5.1,5.2,5.08,156610.0,67.0,804010.0,7000.0,0.0,0.0,0.0,0.0,1.65
2012-05-07,5.11,5.1,5.11,5.08,109000.0,32.0,555290.0,1000.0,0.0,0.0,0.0,0.0,1.65
2012-05-08,5.1,5.1,5.15,5.09,96291.0,32.0,491095.0,-5000.0,0.0,0.0,0.0,0.0,1.65
2012-05-09,5.1,5.1,5.1,5.08,117278.0,40.0,596712.0,-13000.0,0.0,0.0,-1000.0,0.0,1.65
2012-05-10,5.1,5.1,5.24,5.1,59626.0,34.0,308700.0,-10000.0,0.0,0.0,0.0,0.0,1.64
2012-05-11,5.1,5.1,5.14,5.08,98021.0,30.0,499016.0,-31000.0,0.0,0.0,-1000.0,0.0,1.63
2012-05-14,5.09,5.09,5.14,5.09,83000.0,28.0,422690.0,-2000.0,0.0,0.0,0.0,0.0,1.63
2012-05-15,5.1,5.09,5.18,5.08,185202.0,46.0,943088.0,-3000.0,0.0,0.0,0.0,0.0,1.63
2012-05-16,5.07,5.09,5.1,5.07,276004.0,56.0,1402830.0,-12000.0,0.0,0.0,0.0,0.0,1.62
2012-05-17,5.1,5.22,5.22,5.1,115006.0,45.0,589380.0,21000.0,0.0,0.0,0.0,0.0,1.63
2012-05-18,5.03,5.1,5.1,5.03,275259.0,81.0,1389115.0,-15000.0,0.0,0.0,-1000.0,0.0,1.63
2012-05-21,5.04,5.04,5.08,5.0,240131.0,51.0,1206925.0,-21000.0,0.0,0.0,0.0,0.0,1.62
2012-05-22,5.07,5.06,5.09,5.04,126066.0,45.0,637794.0,-19000.0,0.0,0.0,0.0,0.0,1.61
2012-05-23,5.02,5.05,5.09,5.02,272718.0,63.0,1374720.0,-14000.0,0.0,0.0,0.0,0.0,1.61
2012-05-24,4.99,5.09,5.09,4.99,184370.0,61.0,925362.0,0.0,0.0,0.0,0.0,0.0,1.61
2012-05-25,4.94,4.95,5.0,4.94,140034.0,50.0,695325.0,-3000.0,0.0,0.0,0.0,0.0,1.61
2012-05-28,4.88,4.9,4.9,4.82,144658.0,55.0,701555.0,5000.0,0.0,0.0,0.0,0.0,1.61
2012-05-29,5.01,4.9,5.01,4.9,144004.0,56.0,717280.0,0.0,0.0,0.0,0.0,0.0,1.61
2012-05-30,4.97,5.0,5.08,4.96,145065.0,55.0,721572.0,-10000.0,0.0,0.0,0.0,0.0,1.61
2012-05-31,4.93,4.82,4.98,4.82,83065.0,34.0,408212.0,-6000.0,0.0,0.0,0.0,0.0,1.6
2012-06-01,4.91,4.92,4.93,4.9,157131.0,49.0,772378.0,0.0,0.0,0.0,0.0,0.0,1.6
2012-06-04,4.74,4.87,4.89,4.69,377161.0,91.0,1794104.0,-9000.0,0.0,0.0,0.0,0.0,1.6
2012-06-05,4.79,4.78,4.85,4.78,154065.0,59.0,744654.0,0.0,0.0,0.0,0.0,0.0,1.6
2012-06-06,4.85,4.79,4.89,4.79,147099.0,49.0,712678.0,0.0,0.0,0.0,0.0,0.0,1.6
2012-06-07,4.89,4.9,4.97,4.89,85012.0,41.0,417528.0,0.0,0.0,0.0,0.0,0.0,1.6
2012-06-08,4.83,4.88,4.88,4.83,61787.0,29.0,300063.0,-2000.0,0.0,0.0,0.0,0.0,1.6
2012-06-11,4.88,4.88,4.9,4.86,100723.0,40.0,490908.0,0.0,0.0,0.0,0.0,0.0,1.6
2012-06-12,4.84,4.78,4.88,4.78,104000.0,30.0,503300.0,1000.0,0.0,0.0,0.0,0.0,1.6
2012-06-13,4.87,4.94,4.94,4.85,27001.0,14.0,131924.0,-2000.0,0.0,0.0,0.0,0.0,1.6
2012-06-14,4.92,4.85,4.92,4.85,38290.0,29.0,187289.0,0.0,0.0,0.0,0.0,0.0,1.6
2012-06-15,4.93,4.92,4.99,4.87,93329.0,43.0,459308.0,-7000.0,0.0,0.0,0.0,0.0,1.6
2012-06-18,4.95,4.99,5.0,4.88,169935.0,77.0,840769.0,1000.0,0.0,0.0,0.0,0.0,1.6
2012-06-19,4.93,4.96,4.96,4.9,55004.0,28.0,270586.0,-3000.0,0.0,0.0,0.0,0.0,1.6
2012-06-20,4.97,4.9,5.09,4.9,121317.0,59.0,608424.0,0.0,0.0,0.0,0.0,0.0,1.6
2012-06-21,4.96,4.98,5.0,4.94,112723.0,46.0,558719.0,0.0,0.0,0.0,0.0,0.0,1.6
2012-06-22,5.01,4.9,5.04,4.9,72006.0,23.0,359460.0,-50000.0,0.0,0.0,0.0,0.0,1.58
2012-06-25,4.99,5.0,5.0,4.94,38073.0,24.0,189615.0,0.0,0.0,0.0,0.0,0.0,1.58
2012-06-26,4.92,4.95,4.95,4.92,115071.0,36.0,568577.0,-1000.0,0.0,0.0,0.0,0.0,1.58
2012-06-27,4.99,4.9,5.03,4.9,77065.0,41.0,380525.0,-11000.0,0.0,0.0,1000.0,0.0,1.57
2012-06-28,4.98,4.92,4.99,4.9,185952.0,41.0,917031.0,-7000.0,0.0,0.0,0.0,0.0,1.57
2012-06-29,4.95,4.91,4.99,4.91,80011.0,35.0,396724.0,0.0,0.0,0.0,0.0,0.0,1.57
2012-07-02,4.98,4.98,5.0,4.96,46099.0,24.0,229324.0,6000.0,0.0,0.0,0.0,0.0,1.57
2012-07-03,5.02,5.0,5.03,4.96,108999.0,46.0,544745.0,-7000.0,0.0,0.0,0.0,0.0,1.57
2012-07-04,5.0,5.05,5.06,4.92,79867.0,51.0,398187.0,0.0,0.0,0.0,0.0,0.0,1.57
