date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交股數,price:成交筆數,price:成交金額,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:投信買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),foreign_investors_shareholding:全體外資及陸資持股比率
2013-06-26,48.8,48.0,50.8,47.5,2263800.0,1739.0,110402638.0,-19000.0,0.0,0.0,0.0,0.0,1.43
2013-06-27,48.3,48.7,49.4,47.6,901504.0,635.0,43567742.0,0.0,0.0,0.0,0.0,0.0,1.43
2013-06-28,50.0,48.45,50.5,48.45,987200.0,688.0,48940050.0,4000.0,0.0,0.0,0.0,0.0,1.45
2013-07-01,53.1,50.2,54.5,50.2,1363500.0,921.0,72202399.0,-1000.0,0.0,0.0,0.0,0.0,1.44
2013-07-02,51.2,53.2,53.7,50.3,1187525.0,754.0,61448779.0,0.0,0.0,0.0,0.0,0.0,1.44
2013-07-03,48.7,50.9,52.4,48.6,915667.0,574.0,46374563.0,0.0,0.0,0.0,-667.0,0.0,1.44
2013-07-04,50.6,49.1,51.2,46.1,888168.0,609.0,42810798.0,0.0,0.0,0.0,0.0,0.0,1.44
2013-07-05,49.2,51.0,51.7,49.2,776675.0,543.0,39072810.0,-37000.0,0.0,0.0,0.0,0.0,1.35
2013-07-08,47.35,47.6,49.0,47.35,423350.0,293.0,20211705.0,-82000.0,0.0,0.0,0.0,0.0,1.13
2013-07-09,47.6,47.4,48.7,47.4,338495.0,221.0,16240812.0,-27000.0,0.0,0.0,0.0,0.0,1.06
2013-07-10,46.9,47.6,48.4,46.5,333507.0,253.0,15756178.0,-12000.0,0.0,0.0,0.0,0.0,1.03
2013-07-11,46.05,47.2,47.45,46.0,424000.0,298.0,19641900.0,-48000.0,0.0,0.0,0.0,0.0,0.9
