date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交股數,price:成交筆數,price:成交金額,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:投信買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),foreign_investors_shareholding:全體外資及陸資持股比率
2012-05-02,2.6134358253407557,2.5968601224316177,2.6521124654620776,2.574759185219434,320117.0,102.0,1513705.0,22000.0,0.0,0.0,0.0,0.0,1.02
2012-05-03,2.6189610596438015,2.6079105910377094,2.6244862939468474,2.591334888128572,186896.0,67.0,882177.0,7000.0,0.0,0.0,0.0,0.0,1.02
2012-05-04,2.6079105910377094,2.5802844195224797,2.6244862939468474,2.569233950916388,235343.0,76.0,1103350.0,36000.0,0.0,0.0,0.0,0.0,1.04
2012-05-07,2.5858096538255255,2.5802844195224797,2.6023853567346635,2.5471330137042036,121858.0,38.0,566129.0,-35000.0,0.0,0.0,0.0,0.0,1.02
2012-05-08,2.480830202067652,2.5858096538255255,2.5968601224316177,2.4587292648554677,502403.0,157.0,2280687.0,-3000.0,0.0,0.0,0.0,0.0,1.02
2012-05-09,2.4476787962493756,2.3758507503097777,2.480830202067652,2.3758507503097777,171103.0,81.0,753985.0,4000.0,0.0,0.0,-1000.0,0.0,1.02
2012-05-10,2.4642544991585136,2.558183482310296,2.558183482310296,2.4034769218250074,103481.0,57.0,459540.0,-19000.0,0.0,0.0,0.0,0.0,1.01
2012-05-11,2.4255778590371917,2.431103093340238,2.436628327643284,2.3758507503097777,102000.0,35.0,445878.0,-17000.0,0.0,0.0,-1000.0,0.0,1.0
2012-05-14,2.4587292648554677,2.4255778590371917,2.4587292648554677,2.3979516875219615,93991.0,50.0,414547.0,20000.0,0.0,0.0,0.0,0.0,1.01
2012-05-15,2.4476787962493756,2.420052624734146,2.4476787962493756,2.409002156128054,91478.0,33.0,402260.0,8000.0,0.0,0.0,0.0,0.0,1.02
2012-05-16,2.298497470067134,2.420052624734146,2.420052624734146,2.27639653285495,428762.0,146.0,1787733.0,-19000.0,0.0,0.0,0.0,0.0,1.01
2012-05-17,2.265346064248858,2.292972235764088,2.292972235764088,2.16589184679403,252485.0,106.0,1025088.0,-1000.0,0.0,0.0,0.0,0.0,1.01
2012-05-18,2.1493161438848922,2.265346064248858,2.265346064248858,2.11063950376357,863770.0,158.0,3333090.0,55000.0,0.0,0.0,0.0,0.0,1.04
2012-05-21,2.171417081097076,2.1493161438848922,2.176942315400122,2.1493161438848922,142632.0,45.0,556867.0,7000.0,0.0,0.0,0.0,0.0,1.04
2012-05-22,2.2377198927336277,2.171417081097076,2.2377198927336277,2.1327404409757538,333139.0,68.0,1319887.0,-10000.0,0.0,0.0,0.0,0.0,1.03
2012-05-23,2.226669424127536,2.210093721218398,2.226669424127536,2.154841378187938,155748.0,69.0,619412.0,75000.0,0.0,0.0,0.0,0.0,1.07
2012-05-24,2.16589184679403,2.226669424127536,2.226669424127536,2.116164738066616,79471.0,32.0,312593.0,13000.0,0.0,0.0,0.0,0.0,1.08
