date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交股數,price:成交筆數,price:成交金額,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:投信買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),foreign_investors_shareholding:全體外資及陸資持股比率
2012-05-02,20.42026235752997,19.87881600714092,20.574961314783987,19.87881600714092,115773.0,71.0,1520512.0,7000.0,0.0,0.0,0.0,0.0,0.03
2012-05-03,20.342912878902965,20.342912878902965,20.42026235752997,20.188213921648952,58400.0,26.0,765249.0,-3000.0,0.0,0.0,0.0,0.0,0.02
2012-05-04,20.42026235752997,20.110864443021942,20.49761183615698,20.110864443021942,46001.0,22.0,606063.0,2000.0,0.0,0.0,0.0,0.0,0.03
2012-05-07,20.342912878902965,20.110864443021942,20.342912878902965,19.801466528513913,57026.0,18.0,743090.0,-3000.0,0.0,0.0,0.0,0.0,0.02
2012-05-08,20.110864443021942,20.26556340027596,20.49761183615698,20.110864443021942,36916.0,20.0,481699.0,0.0,0.0,0.0,0.0,0.0,0.02
2012-05-09,19.724117049886907,19.95616548576793,19.95616548576793,19.646767571259897,82028.0,37.0,1046303.0,-3000.0,0.0,0.0,0.0,0.0,0.02
2012-05-10,19.801466528513913,19.492068614005884,19.87881600714092,19.492068614005884,44090.0,32.0,559501.0,3000.0,0.0,0.0,0.0,0.0,0.02
2012-05-11,19.182670699497855,18.563874870481794,19.414719135378878,18.563874870481794,111813.0,61.0,1375398.0,-3000.0,0.0,0.0,0.0,0.0,0.02
2012-05-14,19.646767571259897,19.414719135378878,19.801466528513913,19.414719135378878,142161.0,57.0,1798383.0,0.0,0.0,0.0,0.0,0.0,0.02
2012-05-15,19.492068614005884,19.646767571259897,19.646767571259897,19.182670699497855,78504.0,35.0,986148.0,3000.0,0.0,0.0,0.0,0.0,0.02
2012-05-16,19.56941809263289,19.646767571259897,19.646767571259897,19.26002017812486,67007.0,40.0,844434.0,-3000.0,0.0,0.0,0.0,0.0,0.02
