date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交股數,price:成交筆數,price:成交金額,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:投信買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),foreign_investors_shareholding:全體外資及陸資持股比率
2012-05-02,24.708782946600902,24.032858793046472,24.708782946600902,24.032858793046472,1128679.0,502.0,18343745.0,592000.0,0.0,3000.0,7000.0,0.0,6.96
2012-05-03,24.558577579144366,24.708782946600902,24.783885630329173,24.408372211687823,258114.0,143.0,4220049.0,32000.0,0.0,-762.0,-5000.0,0.0,6.96
2012-05-04,24.483474895416094,24.558577579144366,24.63368026287263,24.408372211687823,527895.0,196.0,8619434.0,95000.0,0.0,0.0,-1000.0,0.0,6.97
2012-05-07,24.33326952795955,24.107961476774744,24.33326952795955,24.107961476774744,336220.0,146.0,5423799.0,-46000.0,0.0,0.0,-3000.0,0.0,6.97
2012-05-08,24.25816684423128,24.63368026287263,24.63368026287263,24.107961476774744,629729.0,155.0,10160914.0,5000.0,0.0,0.0,0.0,0.0,6.97
2012-05-09,24.107961476774744,24.25816684423128,24.25816684423128,23.882653425589933,790540.0,253.0,12638590.0,45000.0,0.0,0.0,-3000.0,0.0,6.97
2012-05-10,24.107961476774744,24.107961476774744,24.107961476774744,23.882653425589933,343334.0,136.0,5485659.0,29000.0,0.0,0.0,0.0,0.0,6.98
2012-05-11,24.032858793046472,24.032858793046472,24.107961476774744,23.882653425589933,686130.0,184.0,10963497.0,-15000.0,0.0,0.0,-1000.0,0.0,6.98
2012-05-14,23.9577561093182,24.032858793046472,24.032858793046472,23.80755074186166,335199.0,116.0,5331057.0,41000.0,0.0,0.0,0.0,0.0,6.98
2012-05-15,23.9577561093182,23.80755074186166,23.9577561093182,23.58224269067685,410988.0,137.0,6504709.0,26000.0,0.0,2000.0,0.0,0.0,6.99
2012-05-16,23.732448058133393,23.882653425589933,23.9577561093182,23.732448058133393,258430.0,123.0,4092496.0,30000.0,0.0,1000.0,0.0,0.0,6.99
2012-05-17,23.9577561093182,23.732448058133393,23.9577561093182,23.732448058133393,402561.0,179.0,6388066.0,60000.0,0.0,0.0,0.0,0.0,7.0
2012-05-18,23.356934639492042,23.65734537440512,23.882653425589933,23.2067292720355,869440.0,423.0,13549760.0,35000.0,0.0,0.0,-1000.0,0.0,7.01
2012-05-21,23.43203732322031,23.356934639492042,23.58224269067685,23.28183195576377,341988.0,150.0,5334661.0,11000.0,0.0,0.0,0.0,0.0,7.01
2012-05-22,23.507140006948582,23.43203732322031,23.732448058133393,23.43203732322031,248992.0,123.0,3912220.0,-21000.0,0.0,0.0,0.0,0.0,7.01
2012-05-23,23.356934639492042,23.43203732322031,23.58224269067685,23.2067292720355,332180.0,180.0,5157967.0,-65000.0,0.0,-3000.0,0.0,0.0,7.0
2012-05-24,22.90631853712242,23.356934639492042,23.43203732322031,22.90631853712242,489076.0,219.0,7498590.0,46000.0,0.0,0.0,0.0,0.0,7.01
2012-05-25,22.83121585339415,22.83121585339415,23.13162658830723,22.68101048593761,277315.0,139.0,4215400.0,16000.0,0.0,0.0,6000.0,0.0,7.01
2012-05-28,22.98142122085069,22.68101048593761,23.05652390457896,22.68101048593761,111814.0,57.0,1706900.0,-2000.0,0.0,0.0,1000.0,0.0,7.01
2012-05-29,23.732448058133393,23.13162658830723,23.882653425589933,23.13162658830723,383769.0,201.0,6002968.0,23000.0,0.0,0.0,0.0,0.0,7.01
2012-05-30,23.732448058133393,23.732448058133393,23.732448058133393,23.28183195576377,238101.0,155.0,3726842.0,-53000.0,0.0,29533.0,0.0,0.0,7.0
2012-05-31,23.732448058133393,23.28183195576377,23.732448058133393,23.2067292720355,236871.0,125.0,3717815.0,66000.0,0.0,0.0,0.0,0.0,7.01
2012-06-01,23.28183195576377,23.65734537440512,23.65734537440512,22.98142122085069,514736.0,192.0,7927907.0,-31488.0,0.0,0.0,0.0,0.0,7.01
2012-06-04,22.98142122085069,22.83121585339415,22.98142122085069,22.455702434752798,708234.0,303.0,10691454.0,16000.0,0.0,2000.0,0.0,0.0,7.01
2012-06-05,23.13162658830723,22.98142122085069,23.28183195576377,22.75611316966588,491650.0,209.0,7509258.0,43000.0,0.0,1000.0,0.0,0.0,7.02
2012-06-06,23.13162658830723,23.13162658830723,23.13162658830723,22.75611316966588,286640.0,120.0,4382303.0,44000.0,0.0,0.0,0.0,0.0,7.02
2012-06-07,23.13162658830723,23.2067292720355,23.28183195576377,22.83121585339415,355952.0,112.0,5462055.0,24000.0,0.0,0.0,0.0,0.0,7.03
2012-06-08,23.13162658830723,23.05652390457896,23.13162658830723,22.98142122085069,208873.0,74.0,3208569.0,12000.0,0.0,0.0,-528.0,0.0,7.03
2012-06-11,23.356934639492042,23.13162658830723,23.356934639492042,23.13162658830723,756943.0,174.0,11700915.0,157000.0,0.0,0.0,0.0,0.0,7.05
2012-06-12,23.28183195576377,23.28183195576377,23.43203732322031,22.98142122085069,512000.0,165.0,7886400.0,25000.0,0.0,0.0,0.0,0.0,7.06
2012-06-13,23.356934639492042,23.28183195576377,23.356934639492042,23.13162658830723,409547.0,163.0,6330070.0,-3512.0,0.0,39000.0,0.0,0.0,7.05
2012-06-14,23.732448058133393,23.43203732322031,23.732448058133393,23.28183195576377,410750.0,243.0,6436997.0,42000.0,0.0,38000.0,0.0,0.0,7.06
2012-06-15,23.65734537440512,23.65734537440512,23.732448058133393,23.507140006948582,487869.0,194.0,7660580.0,72000.0,0.0,0.0,2000.0,0.0,7.07
2012-06-18,23.732448058133393,23.732448058133393,23.882653425589933,23.65734537440512,628720.0,214.0,9959133.0,54000.0,0.0,0.0,0.0,0.0,7.08
2012-06-19,23.9577561093182,23.58224269067685,23.9577561093182,23.58224269067685,479544.0,156.0,7595297.0,24000.0,0.0,0.0,0.0,0.0,7.08
2012-06-20,24.032858793046472,23.9577561093182,24.107961476774744,23.882653425589933,899875.0,240.0,14362648.0,40000.0,0.0,0.0,5000.0,0.0,7.09
2012-06-21,23.9577561093182,24.032858793046472,24.032858793046472,23.80755074186166,473065.0,137.0,7537229.0,17000.0,0.0,0.0,0.0,0.0,7.09
2012-06-22,23.9577561093182,24.032858793046472,24.032858793046472,23.80755074186166,400223.0,152.0,6372050.0,-77000.0,0.0,0.0,2000.0,0.0,7.08
2012-06-25,24.107961476774744,23.9577561093182,24.558577579144366,23.9577561093182,1176284.0,333.0,18990570.0,-1000.0,0.0,0.0,0.0,0.0,7.08
2012-06-26,23.882653425589933,24.107961476774744,24.107961476774744,23.882653425589933,850670.0,208.0,13559861.0,-12000.0,0.0,-36061.0,-2000.0,0.0,7.08
2012-06-27,24.032858793046472,23.882653425589933,24.107961476774744,23.882653425589933,634834.0,195.0,10147607.0,93000.0,0.0,0.0,0.0,0.0,7.09
2012-06-28,24.25816684423128,24.408372211687823,24.408372211687823,24.107961476774744,1098483.0,372.0,17703166.0,103510.0,0.0,-3000.0,0.0,0.0,7.1
2012-06-29,24.25816684423128,24.183064160503015,24.33326952795955,24.107961476774744,3267973.0,1260.0,52734345.0,199510.0,0.0,0.0,460000.0,0.0,7.13
2012-07-02,24.17703585144121,24.01477386586107,24.25816684423128,24.01477386586107,1867953.0,769.0,27745946.0,51000.0,0.0,-1000.0,-186000.0,0.0,7.14
2012-07-03,24.17703585144121,24.17703585144121,24.25816684423128,24.01477386586107,880910.0,350.0,13081055.0,83000.0,0.0,-279000.0,-55000.0,0.0,7.15
2012-07-04,24.17703585144121,24.339297837021352,24.339297837021352,24.09590485865114,818971.0,262.0,12227862.0,3000.0,0.0,0.0,-17000.0,0.0,7.15
2012-07-05,24.01477386586107,24.17703585144121,24.17703585144121,24.01477386586107,411422.0,211.0,6103841.0,48000.0,0.0,-1000.0,4000.0,0.0,7.16
2012-07-06,23.852511880280925,24.17703585144121,24.17703585144121,23.852511880280925,493793.0,177.0,7274755.0,-9000.0,0.0,0.0,-195000.0,0.0,7.16
2012-07-09,23.852511880280925,23.852511880280925,24.01477386586107,23.771380887490857,261560.0,127.0,3850773.0,3000.0,0.0,0.0,0.0,0.0,7.16
2012-07-10,23.771380887490857,23.852511880280925,24.01477386586107,23.690249894700784,346590.0,117.0,5094292.0,-23000.0,0.0,0.0,0.0,0.0,7.15
2012-07-11,24.01477386586107,23.771380887490857,24.09590485865114,23.771380887490857,409781.0,124.0,6036116.0,-6000.0,0.0,0.0,0.0,0.0,7.15
2012-07-12,23.690249894700784,24.01477386586107,24.01477386586107,23.690249894700784,819538.0,121.0,12019749.0,-252000.0,0.0,0.0,-5000.0,0.0,7.12
2012-07-13,23.446856916330567,23.690249894700784,23.690249894700784,23.3657259235405,373145.0,137.0,5410724.0,-35000.0,0.0,0.0,0.0,0.0,7.11
2012-07-16,22.960070959590144,23.446856916330567,23.609118901910712,22.960070959590144,439951.0,225.0,6303256.0,7000.0,0.0,0.0,0.0,0.0,7.11
2012-07-17,23.203463937960358,22.960070959590144,23.203463937960358,22.797808974010003,344901.0,189.0,4890590.0,108000.0,0.0,34000.0,0.0,0.0,7.13
2012-07-18,22.878939966800072,23.203463937960358,23.203463937960358,22.878939966800072,388786.0,156.0,5498480.0,-66000.0,0.0,0.0,0.0,0.0,7.12
2012-07-19,23.203463937960358,23.041201952380213,23.203463937960358,22.878939966800072,194016.0,117.0,2756325.0,61000.0,0.0,0.0,0.0,0.0,7.13
2012-07-20,23.122332945170285,23.203463937960358,23.284594930750426,23.041201952380213,270416.0,152.0,3863043.0,38000.0,0.0,0.0,0.0,0.0,7.13
2012-07-23,22.878939966800072,23.203463937960358,23.203463937960358,22.797808974010003,373896.0,136.0,5274815.0,-32000.0,0.0,0.0,0.0,0.0,7.13
2012-07-24,22.797808974010003,22.71667798121993,22.960070959590144,22.71667798121993,258365.0,96.0,3637762.0,-31000.0,0.0,0.0,0.0,0.0,7.12
2012-07-25,22.960070959590144,22.63554698842986,22.960070959590144,22.63554698842986,230086.0,132.0,3241903.0,-3000.0,0.0,0.0,0.0,0.0,7.12
2012-07-26,23.122332945170285,23.3657259235405,23.3657259235405,22.960070959590144,266206.0,102.0,3787011.0,-23000.0,0.0,0.0,0.0,0.0,7.12
2012-07-27,23.284594930750426,23.122332945170285,23.3657259235405,23.041201952380213,473860.0,184.0,6766302.0,-15000.0,0.0,0.0,0.0,0.0,7.12
2012-07-30,23.284594930750426,23.284594930750426,23.284594930750426,22.878939966800072,216006.0,92.0,3084583.0,-3000.0,0.0,0.0,0.0,0.0,7.12
2012-07-31,23.284594930750426,23.203463937960358,23.284594930750426,22.960070959590144,389948.0,151.0,5559103.0,50000.0,0.0,0.0,0.0,0.0,7.12
2012-08-01,23.284594930750426,23.203463937960358,23.284594930750426,23.041201952380213,226624.0,95.0,3234998.0,9000.0,0.0,0.0,-1000.0,0.0,7.13
2012-08-03,23.122332945170285,23.284594930750426,23.284594930750426,23.041201952380213,180996.0,75.0,2580241.0,-18000.0,0.0,0.0,0.0,0.0,7.12
2012-08-06,23.203463937960358,23.122332945170285,23.284594930750426,23.122332945170285,330416.0,110.0,4721845.0,24000.0,0.0,-2000.0,0.0,0.0,7.13
2012-08-07,23.284594930750426,23.122332945170285,23.3657259235405,23.122332945170285,472853.0,159.0,6777748.0,7000.0,0.0,0.0,0.0,0.0,7.13
2012-08-08,23.284594930750426,23.284594930750426,23.446856916330567,23.284594930750426,451096.0,154.0,6491463.0,19000.0,0.0,0.0,0.0,0.0,7.13
2012-08-09,23.3657259235405,23.446856916330567,23.52798790912064,23.284594930750426,894646.0,256.0,12890680.0,180000.0,0.0,19000.0,5000.0,0.0,7.16
2012-08-10,23.284594930750426,23.446856916330567,23.446856916330567,23.284594930750426,202760.0,109.0,2919037.0,40000.0,0.0,0.0,2000.0,0.0,7.16
2012-08-13,23.52798790912064,23.284594930750426,23.609118901910712,23.284594930750426,497405.0,237.0,7182378.0,75000.0,0.0,0.0,0.0,0.0,7.17
