date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交股數,price:成交筆數,price:成交金額,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:投信買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),foreign_investors_shareholding:全體外資及陸資持股比率
2012-05-02,5.642371768,5.522491348,5.642371768,5.522491348,2040.0,5.0,142500.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-03,6.033981140000001,5.9860289720000015,6.033981140000001,5.9860289720000015,4000.0,4.0,301400.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-04,6.449566596000001,6.233781840000001,6.449566596000001,6.233781840000001,4104.0,6.0,328128.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-07,6.897120164,6.897120164,6.897120164,6.897120164,10213.0,9.0,880892.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-08,6.513502820000001,7.344673732000001,7.344673732000001,6.417598484000001,11079.0,10.0,902443.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-09,6.129885476000001,6.457558624000001,6.457558624000001,6.081933308,4796.0,10.0,371096.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-10,6.553462960000001,6.521494848000001,6.553462960000001,6.521494848000001,4159.0,5.0,339202.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-11,6.2737419800000005,6.985032472000001,6.985032472000001,6.2737419800000005,5100.0,6.0,416300.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-14,6.433582540000001,6.649367296000001,6.649367296000001,6.153861560000001,3050.0,4.0,244625.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-15,6.377638344,6.049965196000001,6.377638344,6.049965196000001,2270.0,4.0,176020.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-16,6.393622400000001,6.697319464,6.697319464,6.393622400000001,3200.0,4.0,263400.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-18,6.353662260000001,6.153861560000001,6.353662260000001,6.010005056000001,3079.0,4.0,237862.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-21,6.417598484000001,6.0739412800000006,6.417598484000001,6.0739412800000006,2000.0,2.0,156300.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-23,6.297718064000001,6.105909392000001,6.297718064000001,5.9620528880000006,3738.0,6.0,285960.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-24,6.289726036000001,6.289726036000001,6.289726036000001,6.289726036000001,1050.0,3.0,82624.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-29,6.425590512000001,6.057957224000001,6.425590512000001,6.057957224000001,4000.0,4.0,309200.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-30,6.377638344,6.089925336000001,6.377638344,6.081933308,3079.0,4.0,238127.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-31,6.649367296000001,6.649367296000001,6.649367296000001,6.649367296000001,2598.0,5.0,208642.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,6.1858296720000014,6.241773868,6.617399184000001,6.1858296720000014,4217.0,7.0,333094.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-04,6.1858296720000014,5.834180440000001,6.353662260000001,5.834180440000001,3799.0,5.0,288866.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-05,6.2737419800000005,6.1858296720000014,6.2737419800000005,6.1858296720000014,4000.0,4.0,312800.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-07,6.457558624000001,6.577439044000001,6.577439044000001,6.010005056000001,4000.0,4.0,315300.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-11,6.313702120000001,6.313702120000001,6.313702120000001,6.313702120000001,1718.0,3.0,134356.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-12,6.321694148000001,5.922092748000001,6.321694148000001,5.91410072,3000.0,3.0,227200.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-14,6.321694148000001,6.321694148000001,6.321694148000001,6.321694148000001,1398.0,4.0,109148.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-15,6.1858296720000014,6.0739412800000006,6.1858296720000014,6.0739412800000006,2000.0,2.0,153400.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-18,6.321694148000001,6.321694148000001,6.321694148000001,6.321694148000001,1068.0,3.0,84206.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-19,6.225789812000001,6.010005056000001,6.225789812000001,6.010005056000001,2100.0,4.0,160840.0,0.0,0.0,0.0,0.0,0.0,0.0
