date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交股數,price:成交筆數,price:成交金額,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:投信買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),foreign_investors_shareholding:全體外資及陸資持股比率
2012-05-02,6.88,6.64,6.89,6.64,16000.0,7.0,108620.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-03,6.88,6.88,6.88,6.7,27000.0,12.0,183100.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-04,6.99,6.99,6.99,6.99,2000.0,2.0,13980.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-07,6.96,6.99,6.99,6.72,11000.0,5.0,76180.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-08,6.83,7.28,7.28,6.82,24502.0,13.0,171367.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-09,6.97,6.96,6.97,6.67,8000.0,4.0,55120.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-10,6.9,6.9,6.94,6.8,12000.0,6.0,82670.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-11,6.8,6.9,6.9,6.8,16000.0,7.0,109300.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-14,6.95,6.9,6.95,6.9,6001.0,3.0,41607.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-15,6.95,6.91,6.95,6.9,30001.0,4.0,207177.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-16,6.81,6.8,6.9,6.7,68000.0,23.0,457710.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-17,6.89,6.89,6.89,6.8,58000.0,10.0,395120.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-18,6.83,6.64,6.83,6.44,13000.0,6.0,85500.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-21,6.87,6.65,6.87,6.65,12000.0,5.0,80240.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-22,6.9,6.8,6.9,6.75,34000.0,7.0,230960.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-23,6.89,6.68,6.89,6.68,32001.0,5.0,214186.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-24,6.93,6.93,6.93,6.93,3000.0,1.0,20790.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-25,7.25,7.0,7.25,6.9,1546070.0,58.0,11099197.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-28,7.75,7.35,7.75,7.2,281000.0,69.0,2158080.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-29,7.3,7.73,7.73,7.21,59000.0,34.0,439250.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-30,7.02,7.21,7.48,6.95,21000.0,12.0,150560.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-31,7.18,7.0,7.18,7.0,4000.0,3.0,28360.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,7.03,7.14,7.14,6.8,29000.0,20.0,200580.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-04,6.79,6.65,6.79,6.62,9001.0,7.0,59806.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-05,6.88,6.7,6.88,6.7,7000.0,3.0,47440.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-06,7.02,6.85,7.36,6.85,20000.0,15.0,141960.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-07,7.49,7.2,7.49,7.2,7015.0,6.0,51089.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-08,7.28,7.2,7.28,7.04,9000.0,4.0,64400.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-11,7.3,7.2,7.3,7.2,52000.0,17.0,374770.0,0.0,0.0,0.0,0.0,0.0,0.0
