date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交股數,price:成交筆數,price:成交金額,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:投信買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),foreign_investors_shareholding:全體外資及陸資持股比率
2012-05-02,44.0,41.25,44.2,40.8,1335137.0,722.0,57498649.0,60000.0,0.0,52000.0,0.0,0.0,0.82
2012-05-03,44.0,43.5,44.45,43.0,1068727.0,595.0,46699691.0,-48000.0,0.0,225000.0,0.0,0.0,0.99
2012-05-04,45.9,44.0,46.3,44.0,3288689.0,1715.0,150179665.0,-90000.0,0.0,21000.0,0.0,0.0,1.07
2012-05-07,42.75,44.7,45.0,42.7,2176006.0,1128.0,94736706.0,-95000.0,0.0,-762000.0,70000.0,0.0,0.91
2012-05-08,42.7,42.75,43.3,41.7,1470497.0,745.0,62192972.0,-13000.0,0.0,-53000.0,-35000.0,0.0,0.98
2012-05-09,42.2,42.1,42.7,41.9,557200.0,317.0,23496340.0,-24000.0,0.0,0.0,-70000.0,0.0,0.94
2012-05-10,41.85,42.2,42.3,40.5,746244.0,473.0,30998948.0,-15000.0,0.0,-107000.0,0.0,0.0,0.92
2012-05-11,40.4,41.5,41.85,40.15,761200.0,439.0,30948907.0,-12000.0,0.0,3000.0,-75000.0,0.0,0.9
2012-05-14,38.4,40.4,40.4,37.8,1164300.0,599.0,44858960.0,36000.0,0.0,-343000.0,0.0,0.0,0.96
2012-05-15,39.4,36.9,39.4,36.9,1012327.0,631.0,38712218.0,-135000.0,0.0,-230000.0,0.0,0.0,0.73
2012-05-16,37.7,39.4,39.4,37.7,557050.0,363.0,21439652.0,-26000.0,0.0,-80000.0,0.0,0.0,0.77
2012-05-17,38.0,37.7,38.5,37.55,557001.0,375.0,21169588.0,8000.0,0.0,0.0,0.0,0.0,0.78
2012-05-18,36.75,37.0,38.5,36.75,598008.0,406.0,22359544.0,-70000.0,0.0,37000.0,0.0,0.0,0.67
