date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交股數,price:成交筆數,price:成交金額,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:投信買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),foreign_investors_shareholding:全體外資及陸資持股比率
2012-05-02,43.58680259551738,42.878074098029295,43.67539365770339,42.70089197365728,905600.0,418.0,22112417.0,55000.0,0.0,1000.0,0.0,0.0,1.15
2012-05-03,43.14384728458733,43.58680259551738,43.58680259551738,42.96666516021531,473099.0,227.0,11526800.0,7000.0,0.0,0.0,40000.0,0.0,1.16
2012-05-04,43.232438346773336,42.96666516021531,43.49821153333137,42.878074098029295,378236.0,173.0,9200472.0,31000.0,0.0,0.0,9000.0,0.0,1.18
2012-05-07,42.78948303584328,42.70089197365728,42.878074098029295,42.523709849285254,256069.0,126.0,6173556.0,-1000.0,0.0,0.0,0.0,0.0,1.18
2012-05-08,42.78948303584328,42.78948303584328,43.05525622240132,42.612300911471266,234349.0,101.0,5656940.0,-15750.0,0.0,0.0,0.0,0.0,1.17
2012-05-09,42.78948303584328,42.523709849285254,42.878074098029295,42.169345600541206,174100.0,99.0,4190150.0,42000.0,0.0,0.0,-6000.0,0.0,1.19
2012-05-10,42.34652772491322,42.78948303584328,42.878074098029295,42.25793666272722,393523.0,169.0,9437602.0,80000.0,0.0,0.0,0.0,0.0,1.25
2012-05-11,42.34652772491322,42.169345600541206,42.34652772491322,41.72639028961115,345138.0,208.0,8190234.0,43000.0,0.0,0.0,-44000.0,0.0,1.27
2012-05-14,42.34652772491322,42.34652772491322,42.34652772491322,41.814981351797165,123656.0,68.0,2942561.0,14000.0,0.0,0.0,0.0,0.0,1.28
2012-05-15,42.523709849285254,42.169345600541206,42.523709849285254,41.814981351797165,216542.0,105.0,5153897.0,34000.0,0.0,1000.0,-1000.0,0.0,1.31
2012-05-16,42.25793666272722,42.523709849285254,42.523709849285254,41.99216347616918,204000.0,132.0,4871650.0,16000.0,0.0,63000.0,0.0,0.0,1.32
2012-05-17,42.080754538355194,42.25793666272722,42.34652772491322,42.080754538355194,298697.0,144.0,7114788.0,0.0,0.0,0.0,-4000.0,0.0,1.32
2012-05-18,40.486115419007,41.90357241398317,41.90357241398317,40.39752435682099,765276.0,374.0,17725798.0,-70000.0,0.0,0.0,0.0,0.0,1.27
2012-05-21,40.486115419007,40.75188860556503,40.92907072993705,40.39752435682099,244300.0,152.0,5593450.0,14000.0,0.0,0.0,0.0,0.0,1.28
2012-05-22,40.92907072993705,40.92907072993705,41.106252854309076,40.574706481193004,194400.0,117.0,4480050.0,0.0,0.0,0.0,0.0,0.0,1.28
2012-05-23,40.220342232448964,40.92907072993705,40.92907072993705,40.220342232448964,149201.0,91.0,3402821.0,-10000.0,0.0,0.0,0.0,0.0,1.27
2012-05-24,39.33443161058886,40.308933294634976,40.574706481193004,39.33443161058886,523696.0,182.0,11780677.0,25000.0,0.0,0.0,-1000.0,0.0,1.29
2012-05-25,39.51161373496088,39.51161373496088,39.6887958593329,39.33443161058886,205443.0,114.0,4585126.0,-1000.0,0.0,0.0,0.0,0.0,1.29
2012-05-28,39.954569045890935,39.600204797146894,40.13175117026295,39.33443161058886,318000.0,92.0,7128350.0,1000.0,0.0,0.0,0.0,0.0,1.29
2012-05-29,41.2834349786811,40.04316010807695,41.2834349786811,40.04316010807695,350001.0,144.0,8080573.0,12000.0,0.0,1000.0,0.0,0.0,1.3
2012-05-30,40.84047966775104,41.2834349786811,41.2834349786811,40.66329754337902,249051.0,98.0,5742825.0,-14000.0,0.0,0.0,0.0,0.0,1.29
2012-05-31,40.75188860556503,40.39752435682099,40.84047966775104,40.220342232448964,245551.0,105.0,5606773.0,-6000.0,0.0,0.0,0.0,0.0,1.28
2012-06-01,40.66329754337902,40.66329754337902,41.017661792123064,40.39752435682099,157000.0,88.0,3596950.0,-9000.0,0.0,0.0,-2000.0,0.0,1.28
2012-06-04,38.448520988728745,39.51161373496088,39.6887958593329,37.91697461561268,529447.0,243.0,11640887.0,-36000.0,0.0,2000.0,0.0,0.0,1.25
2012-06-05,39.33443161058886,38.62570311310077,39.51161373496088,38.62570311310077,216910.0,111.0,4800539.0,1000.0,0.0,1000.0,-1000.0,0.0,1.25
2012-06-06,39.157249486216834,39.33443161058886,39.51161373496088,38.98006736184481,311115.0,122.0,6899230.0,19000.0,0.0,0.0,-2000.0,0.0,1.26
2012-06-07,39.51161373496088,39.33443161058886,39.86597798370492,39.33443161058886,200350.0,108.0,4475887.0,17000.0,0.0,0.0,0.0,0.0,1.27
2012-06-08,39.42302267277487,39.33443161058886,39.51161373496088,39.06865842403082,81525.0,43.0,1806507.0,-3000.0,0.0,0.0,0.0,0.0,1.27
2012-06-11,39.42302267277487,40.04316010807695,40.04316010807695,39.42302267277487,103713.0,65.0,2322663.0,1000.0,0.0,0.0,1000.0,0.0,1.27
2012-06-12,39.33443161058886,38.98006736184481,39.33443161058886,38.802885237472786,94000.0,56.0,2070850.0,3000.0,0.0,0.0,0.0,0.0,1.28
2012-06-13,39.51161373496088,39.33443161058886,39.51161373496088,39.157249486216834,111033.0,70.0,2464930.0,7000.0,0.0,1000.0,-1000.0,0.0,1.28
2012-06-14,39.33443161058886,39.51161373496088,39.6887958593329,39.157249486216834,73249.0,52.0,1629728.0,-2000.0,0.0,0.0,0.0,0.0,1.28
2012-06-15,39.33443161058886,39.157249486216834,39.77738692151891,39.157249486216834,163653.0,86.0,3644274.0,0.0,0.0,0.0,0.0,0.0,1.28
2012-06-18,40.04316010807695,39.86597798370492,40.220342232448964,39.6887958593329,282559.0,114.0,6362776.0,5000.0,0.0,0.0,1000.0,0.0,1.28
2012-06-19,39.86597798370492,40.04316010807695,40.220342232448964,39.86597798370492,157035.0,83.0,3541785.0,1000.0,0.0,0.0,4000.0,0.0,1.28
2012-06-20,40.92907072993705,40.13175117026295,41.106252854309076,40.04316010807695,260001.0,100.0,5944073.0,2000.0,0.0,0.0,0.0,0.0,1.28
2012-06-21,40.574706481193004,40.75188860556503,40.92907072993705,40.39752435682099,104527.0,53.0,2395563.0,-7000.0,0.0,0.0,0.0,0.0,1.28
2012-06-22,40.75188860556503,39.86597798370492,40.75188860556503,39.86597798370492,118988.0,69.0,2705072.0,-3000.0,0.0,0.0,-3000.0,0.0,1.28
2012-06-25,40.39752435682099,40.75188860556503,40.75188860556503,40.220342232448964,148024.0,60.0,3376544.0,6000.0,0.0,0.0,-3000.0,0.0,1.28
2012-06-26,40.220342232448964,39.954569045890935,40.308933294634976,39.954569045890935,90812.0,61.0,2055180.0,1000.0,0.0,-6000.0,0.0,0.0,1.28
2012-06-27,40.574706481193004,40.220342232448964,40.92907072993705,40.04316010807695,202322.0,82.0,4634820.0,-1000.0,0.0,0.0,0.0,0.0,1.28
2012-06-28,40.574706481193004,40.75188860556503,41.106252854309076,40.574706481193004,186365.0,77.0,4279767.0,-14000.0,0.0,-26000.0,-3000.0,0.0,1.27
2012-06-29,40.92907072993705,40.39752435682099,40.92907072993705,40.39752435682099,147690.0,61.0,3389606.0,14000.0,0.0,0.0,-2000.0,0.0,1.28
2012-07-02,41.46061710305312,41.2834349786811,41.63779922742514,41.106252854309076,320299.0,150.0,7484915.0,-2000.0,0.0,-1000.0,0.0,0.0,1.27
2012-07-03,41.99216347616918,41.46061710305312,42.169345600541206,41.46061710305312,213025.0,94.0,5025140.0,6000.0,0.0,1000.0,0.0,0.0,1.28
2012-07-04,42.169345600541206,42.169345600541206,42.523709849285254,41.99216347616918,287475.0,132.0,6842454.0,6000.0,0.0,0.0,0.0,0.0,1.28
2012-07-05,42.523709849285254,42.34652772491322,42.523709849285254,42.080754538355194,357296.0,140.0,8534004.0,11000.0,0.0,-51000.0,0.0,0.0,1.29
2012-07-06,42.523709849285254,42.25793666272722,42.878074098029295,41.99216347616918,449981.0,156.0,10788194.0,-8000.0,0.0,-60000.0,4000.0,0.0,1.28
2012-07-09,42.169345600541206,42.523709849285254,42.523709849285254,41.99216347616918,188506.0,80.0,4484967.0,1000.0,0.0,-50000.0,15000.0,0.0,1.28
2012-07-10,41.90357241398317,41.99216347616918,42.080754538355194,41.63779922742514,230646.0,110.0,5454080.0,2000.0,0.0,0.0,0.0,0.0,1.29
2012-07-11,42.612300911471266,41.814981351797165,42.612300911471266,41.72639028961115,220900.0,104.0,5250624.0,7000.0,0.0,-45000.0,-1000.0,0.0,1.29
2012-07-12,41.814981351797165,42.523709849285254,42.523709849285254,41.814981351797165,132300.0,72.0,3138540.0,-11000.0,0.0,0.0,0.0,0.0,1.29
2012-07-13,41.37202604086711,41.814981351797165,42.080754538355194,41.37202604086711,258352.0,112.0,6064771.0,-1000.0,0.0,0.0,0.0,0.0,1.29
2012-07-16,40.39752435682099,41.63779922742514,41.72639028961115,40.39752435682099,898173.0,379.0,20699163.0,3000.0,0.0,0.0,0.0,0.0,1.29
2012-07-17,39.91197718907074,39.81486775552069,40.49463379037105,39.717758321970635,524400.0,262.0,10806617.0,-3000.0,0.0,-122000.0,4000.0,0.0,1.29
2012-07-18,39.81486775552069,40.00908662262079,40.30041492327094,39.717758321970635,172001.0,61.0,3536070.0,-2000.0,0.0,0.0,0.0,0.0,1.29
2012-07-19,40.78596209102119,39.81486775552069,40.78596209102119,39.81486775552069,264300.0,123.0,5479920.0,5000.0,0.0,0.0,0.0,0.0,1.29
