date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交股數,price:成交筆數,price:成交金額,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:投信買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),foreign_investors_shareholding:全體外資及陸資持股比率
2012-05-02,97.29900708945686,95.2161537266856,99.679410932624,95.2161537266856,585100.0,377.0,38616250.0,-75000.0,0.0,-25000.0,-14000.0,0.0,14.07
2012-05-03,99.0843099718322,97.29900708945686,99.23308521203016,96.852681368863,272486.0,189.0,18018471.0,7000.0,0.0,10486.0,4000.0,0.0,14.07
2012-05-04,99.679410932624,99.0843099718322,100.72083761400962,98.63798425123836,296300.0,178.0,19864400.0,-10000.0,0.0,-24743.0,0.0,0.0,14.07
2012-05-07,98.19165853064453,97.59655756985273,98.93553473163426,97.59655756985273,176061.0,107.0,11623678.0,-6000.0,0.0,0.0,3000.0,0.0,14.06
2012-05-08,99.679410932624,98.19165853064453,100.42328713361373,97.59655756985273,243337.0,136.0,16244144.0,-12000.0,0.0,-17000.0,-5000.0,0.0,14.06
2012-05-09,98.63798425123836,98.19165853064453,100.27451189341579,98.19165853064453,122037.0,93.0,8147079.0,-11000.0,0.0,0.0,-1000.0,0.0,14.06
2012-05-10,97.7453328100507,97.7453328100507,99.0843099718322,97.59655756985273,97354.0,70.0,6409556.0,13000.0,0.0,-17000.0,1000.0,0.0,14.08
2012-05-11,96.70390612866507,97.7453328100507,97.7453328100507,95.5137042070815,128034.0,109.0,8281944.0,16000.0,0.0,0.0,4000.0,0.0,14.09
2012-05-14,95.8112546874774,95.5137042070815,96.40635564826917,95.5137042070815,42251.0,35.0,2725244.0,-4000.0,0.0,0.0,1000.0,0.0,14.08
2012-05-15,97.4477823296548,95.2161537266856,97.7453328100507,95.2161537266856,105000.0,67.0,6753900.0,16000.0,0.0,1000.0,0.0,0.0,14.09
